Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Provincia de Buenos Aires,PALOMAR,1,-35.4241177,-58.7953204,"Provincia de Buenos Aires, PALOMAR"
Provincia de Buenos Aires,PARQUE SAN MARTIN,1,-34.6940266,-58.7426599,"Provincia de Buenos Aires, PARQUE SAN MARTIN"
Provincia de Buenos Aires,PEHUAJO 849,1,-34.6501707,-58.6515467,"Provincia de Buenos Aires, PEHUAJO 849"
Provincia de Buenos Aires,PEHUEN CO,1,-38.9998841,-61.5536839,"Provincia de Buenos Aires, PEHUEN CO"
Provincia de Buenos Aires,PEREYRA,1,-34.8350819,-58.0948019,"Provincia de Buenos Aires, PEREYRA"
Provincia de Buenos Aires,PIGUE,1,-34.5868317,-58.6334622,"Provincia de Buenos Aires, PIGUE"
Provincia de Buenos Aires,PIGÜE,1,-37.6027951,-62.4023096,"Provincia de Buenos Aires, PIGÜE"
Provincia de Buenos Aires,PLAYA CHAPADMALAL,1,-38.1729731,-57.6501569,"Provincia de Buenos Aires, PLAYA CHAPADMALAL"
Provincia de Buenos Aires,PRESIDENTE PERON,1,-34.8342571,-58.2183776,"Provincia de Buenos Aires, PRESIDENTE PERON"
Provincia de Buenos Aires,PRIMERA SECCION ISLAS DEL TIGRE,1,,,"Provincia de Buenos Aires, PRIMERA SECCION ISLAS DEL TIGRE"
Provincia de Buenos Aires,PUEBLO SAN JOSE,1,-34.0911113,-60.4131590,"Provincia de Buenos Aires, PUEBLO SAN JOSE"
Provincia de Buenos Aires,PUERTOBELGRANO,1,,,"Provincia de Buenos Aires, PUERTOBELGRANO"
Provincia de Buenos Aires,PUNTA LARA,1,-34.8206566,-57.9675322,"Provincia de Buenos Aires, PUNTA LARA"
Provincia de Buenos Aires,Pablo Podesta,1,-34.5883510,-58.6079923,"Provincia de Buenos Aires, Pablo Podesta"
Provincia de Buenos Aires,Parque Sicardi,1,-35.0000000,-57.8500000,"Provincia de Buenos Aires, Parque Sicardi"
Provincia de Buenos Aires,Paso del Rey,1,-34.6582188,-58.7620664,"Provincia de Buenos Aires, Paso del Rey"
Provincia de Buenos Aires,Pavon,1,-34.0962190,-59.0591765,"Provincia de Buenos Aires, Pavon"
Provincia de Buenos Aires,Pergamino,1,-33.8974950,-60.5750460,"Provincia de Buenos Aires, Pergamino"
Provincia de Buenos Aires,Platanos,1,-34.7823275,-58.1708020,"Provincia de Buenos Aires, Platanos"
Provincia de Buenos Aires,Punta Alta,1,-38.8804693,-62.0744033,"Provincia de Buenos Aires, Punta Alta"
Provincia de Buenos Aires,RAMON SANTAMARINA,1,-38.4497580,-59.3300757,"Provincia de Buenos Aires, RAMON SANTAMARINA"
Provincia de Buenos Aires,RETA,1,-38.8963308,-60.3418376,"Provincia de Buenos Aires, RETA"
Provincia de Buenos Aires,RINCON DE MILBERG,1,-34.4102380,-58.6082848,"Provincia de Buenos Aires, RINCON DE MILBERG"
Provincia de Buenos Aires,Martinez,1,-34.4939666,-58.5103520,"Provincia de Buenos Aires, Martinez"
Provincia de Buenos Aires,Maipu,1,-33.8100233,-59.5040171,"Provincia de Buenos Aires, Maipu"
Provincia de Buenos Aires,MONTEAGUDO VILLA BERNARDO DE,1,-34.5917513,-58.5256663,"Provincia de Buenos Aires, MONTEAGUDO VILLA BERNARDO DE"
Provincia de Buenos Aires,LISANDRO OLMO,1,,,"Provincia de Buenos Aires, LISANDRO OLMO"
Provincia de Buenos Aires,LA DULCE,1,-38.2836575,-59.2033388,"Provincia de Buenos Aires, LA DULCE"
Provincia de Buenos Aires,LA EMILIA,1,-33.3492433,-60.3167224,"Provincia de Buenos Aires, LA EMILIA"
Provincia de Buenos Aires,LA LONJA PILAR,1,-34.4464047,-58.8296211,"Provincia de Buenos Aires, LA LONJA PILAR"
Provincia de Buenos Aires,LA LUCILA DEL MAR,1,-36.6584443,-56.6928017,"Provincia de Buenos Aires, LA LUCILA DEL MAR"
Provincia de Buenos Aires,LA MATANZA,1,-34.9133471,-58.3392229,"Provincia de Buenos Aires, LA MATANZA"
Provincia de Buenos Aires,LA Plata,1,-34.9206797,-57.9537638,"Provincia de Buenos Aires, LA Plata"
Provincia de Buenos Aires,LABARDE,1,,,"Provincia de Buenos Aires, LABARDE"
Provincia de Buenos Aires,LANUS (O),1,-34.7233700,-58.4090283,"Provincia de Buenos Aires, LANUS (O)"
Provincia de Buenos Aires,LAS ACACIAS,1,-34.5684840,-59.1415286,"Provincia de Buenos Aires, LAS ACACIAS"
Provincia de Buenos Aires,LAS HERAS,1,-34.9280308,-58.9445391,"Provincia de Buenos Aires, LAS HERAS"
Provincia de Buenos Aires,LAS TONINAS,1,-36.4882488,-56.7050737,"Provincia de Buenos Aires, LAS TONINAS"
Provincia de Buenos Aires,LEANDRO N ALEM,1,-38.0261493,-57.5335742,"Provincia de Buenos Aires, LEANDRO N ALEM"
Provincia de Buenos Aires,LEZAMA,1,-35.8738767,-57.8954668,"Provincia de Buenos Aires, LEZAMA"
Provincia de Buenos Aires,LOMA VERDE,1,-34.3305806,-58.8445392,"Provincia de Buenos Aires, LOMA VERDE"
Provincia de Buenos Aires,MINISTRO RIVADAVIA,1,-34.8407970,-58.3640255,"Provincia de Buenos Aires, MINISTRO RIVADAVIA"
Provincia de Buenos Aires,LOMCHAMPS,1,,,"Provincia de Buenos Aires, LOMCHAMPS"
Provincia de Buenos Aires,LONCHAMPS,1,,,"Provincia de Buenos Aires, LONCHAMPS"
Provincia de Buenos Aires,LOPEZ VICENTE,1,-34.5449501,-58.5014102,"Provincia de Buenos Aires, LOPEZ VICENTE"
Provincia de Buenos Aires,LUCILA DEL MAR,1,-36.6600432,-56.6839240,"Provincia de Buenos Aires, LUCILA DEL MAR"
Provincia de Buenos Aires,Labarden,1,-36.9474963,-58.1035834,"Provincia de Buenos Aires, Labarden"
Provincia de Buenos Aires,Lanus Este,1,-34.7109137,-58.3742103,"Provincia de Buenos Aires, Lanus Este"
Provincia de Buenos Aires,Lisandro Olmos,1,-34.9952551,-58.0460710,"Provincia de Buenos Aires, Lisandro Olmos"
Provincia de Buenos Aires,Lujan,1,-34.5661734,-59.1152598,"Provincia de Buenos Aires, Lujan"
Provincia de Buenos Aires,MANUEL ALBERTI,1,-34.4563235,-58.7753102,"Provincia de Buenos Aires, MANUEL ALBERTI"
Provincia de Buenos Aires,MANUEL ALBERTI  DEL VISO,1,,,"Provincia de Buenos Aires, MANUEL ALBERTI  DEL VISO"
Provincia de Buenos Aires,MANUEL OCAMPO,1,-33.7645435,-60.6514683,"Provincia de Buenos Aires, MANUEL OCAMPO"
Provincia de Buenos Aires,MAQUINISTA FRANCISCO SAVIO,1,,,"Provincia de Buenos Aires, MAQUINISTA FRANCISCO SAVIO"
Provincia de Buenos Aires,MECHONGUE,1,-38.1462247,-58.2292060,"Provincia de Buenos Aires, MECHONGUE"
Provincia de Buenos Aires,CARLOS KEEN,1,-34.4863579,-59.2191572,"Provincia de Buenos Aires, CARLOS KEEN"
Provincia de Buenos Aires,CARLOS BEGUERIE,1,-35.4889669,-59.0990286,"Provincia de Buenos Aires, CARLOS BEGUERIE"
Provincia de Buenos Aires,CARILO,1,-37.1611032,-56.8997873,"Provincia de Buenos Aires, CARILO"
Misiones,san vicente,1,-26.9932723,-54.4866356,"Misiones, san vicente"
Mendoza,SEXTA SECCION,1,,,"Mendoza, SEXTA SECCION"
Mendoza,Tunuyan,1,-33.5812925,-69.0154258,"Mendoza, Tunuyan"
Mendoza,VILLA 25 DE MAYO,1,-32.9045023,-68.8529455,"Mendoza, VILLA 25 DE MAYO"
Mendoza,VILLA ATUEL,1,-34.8321169,-67.9206383,"Mendoza, VILLA ATUEL"
Mendoza,VILLA SECA RODEO DEL MEDIO,1,,,"Mendoza, VILLA SECA RODEO DEL MEDIO"
Mendoza,VILLA TULUMAYA,1,-32.7214557,-68.5958823,"Mendoza, VILLA TULUMAYA"
Mendoza,VISTA FLORES,1,-33.6509493,-69.1555479,"Mendoza, VISTA FLORES"
Mendoza,VISTALBA LUJAN DE CUYO,1,-33.0387324,-68.9101226,"Mendoza, VISTALBA LUJAN DE CUYO"
Mendoza,Vista Flores,1,-33.6509493,-69.1555479,"Mendoza, Vista Flores"
Mendoza,capital,1,-24.7943263,-65.4169581,"Mendoza, capital"
Mendoza,la consulta,1,-33.7366936,-69.1185092,"Mendoza, la consulta"
Mendoza,los barriales,1,-33.0977228,-68.5707251,"Mendoza, los barriales"
Misiones,ARISTOBULO DEL VALLE,1,-27.0991850,-54.8935248,"Misiones, ARISTOBULO DEL VALLE"
Misiones,AZARA,1,-28.0607112,-55.6770963,"Misiones, AZARA"
Misiones,CERRO AZUL,1,-27.6335350,-55.4971519,"Misiones, CERRO AZUL"
Misiones,COLONIA GUARANI,1,-27.5249840,-55.1601980,"Misiones, COLONIA GUARANI"
Misiones,CONCEPCION DE LA SIERRA,1,-27.9805862,-55.5216043,"Misiones, CONCEPCION DE LA SIERRA"
Misiones,Concepcion de la Sierra,1,-27.9805862,-55.5216043,"Misiones, Concepcion de la Sierra"
Misiones,EL DORADO,1,-27.9031283,-55.7551486,"Misiones, EL DORADO"
Misiones,Eldorado,1,-26.4048555,-54.6262079,"Misiones, Eldorado"
Misiones,IGUAZU,1,-25.6925324,-54.4411144,"Misiones, IGUAZU"
Misiones,LEANDRO NICEFORO ALEM,1,,,"Misiones, LEANDRO NICEFORO ALEM"
Misiones,MISIONES,1,-27.3977561,-55.8933047,"Misiones, MISIONES"
Misiones,MONTE CARLO,1,,,"Misiones, MONTE CARLO"
Misiones,Posadas,1,-27.3664824,-55.8942950,"Misiones, Posadas"
Misiones,SAN PEDRO,1,-26.6240540,-54.1111534,"Misiones, SAN PEDRO"
Misiones,SAN VICENTE,1,-26.9932723,-54.4866356,"Misiones, SAN VICENTE"
Misiones,San Ignacio,1,-27.2583992,-55.5392216,"Misiones, San Ignacio"
Misiones,VILLALONGA CARUPA,1,,,"Misiones, VILLALONGA CARUPA"
Mendoza,SAN PEDRO DEL ATUEL,1,-35.1479848,-67.6552320,"Mendoza, SAN PEDRO DEL ATUEL"
Mendoza,SAN FRANCISCO DEL MO,1,19.2969580,-99.0204469,"Mendoza, SAN FRANCISCO DEL MO"
Mendoza,SAN AMRTIN,1,,,"Mendoza, SAN AMRTIN"
Mendoza,LA PUNILLA   LUJAN DE CUYO,1,,,"Mendoza, LA PUNILLA   LUJAN DE CUYO"
Mendoza,Chacras de Coria,1,-32.9863466,-68.8821824,"Mendoza, Chacras de Coria"
Mendoza,EL NIHUIL,1,-35.0298780,-68.6735797,"Mendoza, EL NIHUIL"
Mendoza,EL TROPEZON,1,-34.6836820,-68.2789978,"Mendoza, EL TROPEZON"
Mendoza,EL USILLAL,1,-34.5194329,-68.4037596,"Mendoza, EL USILLAL"
Mendoza,EL ZAPALLAR,1,-32.8606933,-68.8164993,"Mendoza, EL ZAPALLAR"
Mendoza,GENERAL ALVER,1,,,"Mendoza, GENERAL ALVER"
Mendoza,GENERAL BELGRANO,1,-29.1621736,-59.6680966,"Mendoza, GENERAL BELGRANO"
Mendoza,GOBERNADOR BENEGAS,1,-32.9479530,-68.8487638,"Mendoza, GOBERNADOR BENEGAS"
Mendoza,Gogoy Cruz,1,,,"Mendoza, Gogoy Cruz"
Mendoza,INGENIERO GIAGNONI  JUNIN,1,,,"Mendoza, INGENIERO GIAGNONI  JUNIN"
Mendoza,LA COLONIA JUNIN,1,-33.1146850,-68.4872001,"Mendoza, LA COLONIA JUNIN"
Mendoza,LA PAZ,1,-33.4615574,-67.5522602,"Mendoza, LA PAZ"
Mendoza,LA PRIMAVERA,1,-32.9238460,-68.6698276,"Mendoza, LA PRIMAVERA"
Mendoza,LAS COMPUERTAS,1,-33.0379787,-68.9818314,"Mendoza, LAS COMPUERTAS"
Mendoza,Rivadavia,1,-33.1959388,-68.4662317,"Mendoza, Rivadavia"
Mendoza,LAS COMPUERTAS NEGRA,1,,,"Mendoza, LAS COMPUERTAS NEGRA"
Mendoza,LAS CUEVAS,1,-32.8135179,-70.0485462,"Mendoza, LAS CUEVAS"
Mendoza,LOS ARBOLES ANDRADE,1,-33.1821819,-68.5417177,"Mendoza, LOS ARBOLES ANDRADE"
Mendoza,LUZURIAGA Barrio Ferroviario,1,,,"Mendoza, LUZURIAGA Barrio Ferroviario"
Mendoza,La Consulta,1,-33.7366936,-69.1185092,"Mendoza, La Consulta"
Mendoza,Luzuriaga,1,-32.9451847,-68.8033386,"Mendoza, Luzuriaga"
Mendoza,MENDOZA CAPITAL,1,-32.8894155,-68.8446177,"Mendoza, MENDOZA CAPITAL"
Mendoza,PERDRIEL,1,-33.0734882,-68.8852908,"Mendoza, PERDRIEL"
Mendoza,PHILIPPS,1,-33.2041702,-68.3778322,"Mendoza, PHILIPPS"
Mendoza,PUENTE DE HIERRO,1,-32.8666670,-68.6666670,"Mendoza, PUENTE DE HIERRO"
Mendoza,REAL DEL PADRE,1,-34.8395197,-67.7644219,"Mendoza, REAL DEL PADRE"
Mendoza,RODRIGUEZ PEÑA,1,-33.1213143,-68.5979462,"Mendoza, RODRIGUEZ PEÑA"
Mendoza,RUSELL,1,-33.0025815,-68.7722377,"Mendoza, RUSELL"
Misiones,san martin,1,-27.4674544,-55.2743019,"Misiones, san martin"
Neuquén,ALUMINE,1,-39.2384508,-70.9158947,"Neuquén, ALUMINE"
Provincia de Buenos Aires,CARDENAL CAGLIERO,1,-40.6501905,-62.7554963,"Provincia de Buenos Aires, CARDENAL CAGLIERO"
Neuquén,Alumine,1,-39.2384508,-70.9158947,"Neuquén, Alumine"
Provincia de Buenos Aires,ARROYO DULCE,1,-34.0980459,-60.4043101,"Provincia de Buenos Aires, ARROYO DULCE"
Provincia de Buenos Aires,ARTURO SEGUI,1,-34.8859867,-58.1281697,"Provincia de Buenos Aires, ARTURO SEGUI"
Provincia de Buenos Aires,ATALAYA,1,-35.0250665,-57.5299177,"Provincia de Buenos Aires, ATALAYA"
Provincia de Buenos Aires,Adolfo Gonzales Chaves,1,-38.0324320,-60.0994208,"Provincia de Buenos Aires, Adolfo Gonzales Chaves"
Provincia de Buenos Aires,Adrogue,1,-34.7973853,-58.3885508,"Provincia de Buenos Aires, Adrogue"
Provincia de Buenos Aires,Almirante Brown,1,-34.5796344,-60.9677445,"Provincia de Buenos Aires, Almirante Brown"
Provincia de Buenos Aires,BALLESTER,1,-34.6105783,-58.5981508,"Provincia de Buenos Aires, BALLESTER"
Provincia de Buenos Aires,BALNEARIO RETA,1,-38.8962687,-60.3433738,"Provincia de Buenos Aires, BALNEARIO RETA"
Provincia de Buenos Aires,BARRIO ESTACION DOLORES,1,,,"Provincia de Buenos Aires, BARRIO ESTACION DOLORES"
Provincia de Buenos Aires,BARRIO ESTEBAN ECHEV,1,,,"Provincia de Buenos Aires, BARRIO ESTEBAN ECHEV"
Provincia de Buenos Aires,BASE AERONAVAL CMTE,1,,,"Provincia de Buenos Aires, BASE AERONAVAL CMTE"
Provincia de Buenos Aires,BATAN,1,-38.0079740,-57.7104415,"Provincia de Buenos Aires, BATAN"
Provincia de Buenos Aires,BERASATEGUI,1,,,"Provincia de Buenos Aires, BERASATEGUI"
Provincia de Buenos Aires,BERUTTI,1,-34.6624870,-58.3679045,"Provincia de Buenos Aires, BERUTTI"
Provincia de Buenos Aires,BILLINGHURST,1,-34.5764734,-58.5728206,"Provincia de Buenos Aires, BILLINGHURST"
Provincia de Buenos Aires,BUENOS AIRES,1,-34.8807402,-58.3682907,"Provincia de Buenos Aires, BUENOS AIRES"
Provincia de Buenos Aires,Bahia San Blas,1,-40.5597134,-62.2346056,"Provincia de Buenos Aires, Bahia San Blas"
Provincia de Buenos Aires,Balcarce,1,-37.8464435,-58.2555452,"Provincia de Buenos Aires, Balcarce"
Provincia de Buenos Aires,Barrio Gloria de la Peregrina,1,-37.9058798,-57.7874730,"Provincia de Buenos Aires, Barrio Gloria de la Peregrina"
Provincia de Buenos Aires,Beccar,1,-34.4635418,-58.5343404,"Provincia de Buenos Aires, Beccar"
Provincia de Buenos Aires,Bella Vista,1,-34.5684085,-58.6894883,"Provincia de Buenos Aires, Bella Vista"
Provincia de Buenos Aires,Burzaco,1,-34.8258956,-58.3950536,"Provincia de Buenos Aires, Burzaco"
Provincia de Buenos Aires,CACEROS,1,,,"Provincia de Buenos Aires, CACEROS"
Provincia de Buenos Aires,CACHARI,1,-36.3791286,-59.5056179,"Provincia de Buenos Aires, CACHARI"
Provincia de Buenos Aires,CANNING ESTEBAN ECHE,1,,,"Provincia de Buenos Aires, CANNING ESTEBAN ECHE"
Provincia de Buenos Aires,CANTERA LA MOVEDIZA,1,-37.3135124,-59.1674890,"Provincia de Buenos Aires, CANTERA LA MOVEDIZA"
Provincia de Buenos Aires,CAPILLA DEL SEÑOR,1,-34.2869463,-59.1017427,"Provincia de Buenos Aires, CAPILLA DEL SEÑOR"
Provincia de Buenos Aires,CAPITAN  SARMIENTO,1,-34.1712010,-59.7936199,"Provincia de Buenos Aires, CAPITAN  SARMIENTO"
Provincia de Buenos Aires,CAPITAN SARMIENTO,1,-34.1712010,-59.7936199,"Provincia de Buenos Aires, CAPITAN SARMIENTO"
Provincia de Buenos Aires,ARROYO CORTO,1,-37.5148642,-62.3123401,"Provincia de Buenos Aires, ARROYO CORTO"
Provincia de Buenos Aires,ARANA,1,-35.0009419,-57.8961672,"Provincia de Buenos Aires, ARANA"
Provincia de Buenos Aires,ANGEL ETCHEVERRY,1,-35.0227390,-58.0780232,"Provincia de Buenos Aires, ANGEL ETCHEVERRY"
Neuquén,PIEDRA DE AGUILA,1,-40.0485524,-70.0751780,"Neuquén, PIEDRA DE AGUILA"
Neuquén,AÑELO,1,-38.3542800,-68.7875804,"Neuquén, AÑELO"
Neuquén,BUTA RANQUIL,1,-37.0516690,-69.8778845,"Neuquén, BUTA RANQUIL"
Neuquén,CAVIAHUE,1,-37.8691848,-71.0539772,"Neuquén, CAVIAHUE"
Neuquén,COVUNCO,1,-38.5317048,-70.2348723,"Neuquén, COVUNCO"
Neuquén,Confluencia,1,-38.9625705,-68.0313581,"Neuquén, Confluencia"
Neuquén,Covunco Centro,1,-38.7511499,-70.0239653,"Neuquén, Covunco Centro"
Neuquén,LA ANGOSTURA,1,-38.8753085,-71.2059990,"Neuquén, LA ANGOSTURA"
Neuquén,LAGO MOQUEHUE,1,-38.9054050,-71.2769455,"Neuquén, LAGO MOQUEHUE"
Neuquén,Las Lajas,1,-38.5234753,-70.3616441,"Neuquén, Las Lajas"
Neuquén,MELIQUINA,1,-40.1473521,-71.3073044,"Neuquén, MELIQUINA"
Neuquén,Neuquen,1,-38.9519679,-68.0591741,"Neuquén, Neuquen"
Neuquén,PARAJE MOQUEHUE,1,,,"Neuquén, PARAJE MOQUEHUE"
Neuquén,PICUN LEUFU,1,-39.5185334,-69.2911066,"Neuquén, PICUN LEUFU"
Neuquén,PIEDRA DEL AGUILA,1,-40.0485524,-70.0751780,"Neuquén, PIEDRA DEL AGUILA"
Provincia de Buenos Aires,AMERICA,1,-35.4891187,-62.9756868,"Provincia de Buenos Aires, AMERICA"
Neuquén,Plaza Huincul,1,-38.9304191,-69.2002460,"Neuquén, Plaza Huincul"
Neuquén,RINCON DE LOS SAUCES,1,-37.3901880,-68.9252566,"Neuquén, RINCON DE LOS SAUCES"
Neuquén,San Martin de los Andes,1,-40.1568791,-71.3525588,"Neuquén, San Martin de los Andes"
Neuquén,VILLA LA LANGOSTURA,1,,,"Neuquén, VILLA LA LANGOSTURA"
Neuquén,Villa El Chocon,1,-39.2611427,-68.7837698,"Neuquén, Villa El Chocon"
Neuquén,Zapala,1,-38.9006215,-70.0668573,"Neuquén, Zapala"
Provincia de Buenos Aires,20 DE JUNIO,1,-34.7803617,-58.7380117,"Provincia de Buenos Aires, 20 DE JUNIO"
Provincia de Buenos Aires,30 DE AGOSTO,1,-36.2787547,-62.5451145,"Provincia de Buenos Aires, 30 DE AGOSTO"
Provincia de Buenos Aires,ADOLFO SORDEAUX,1,,,"Provincia de Buenos Aires, ADOLFO SORDEAUX"
Provincia de Buenos Aires,AEROPUERTO EZEIZA,1,-34.8168141,-58.5474234,"Provincia de Buenos Aires, AEROPUERTO EZEIZA"
Provincia de Buenos Aires,AGOTE,1,-34.6441314,-59.3550510,"Provincia de Buenos Aires, AGOTE"
Provincia de Buenos Aires,AGUSTINA,1,-34.4578153,-61.0670817,"Provincia de Buenos Aires, AGUSTINA"
Provincia de Buenos Aires,ALTO LOS CARDALES CAMPANA,1,,,"Provincia de Buenos Aires, ALTO LOS CARDALES CAMPANA"
Tucumán,Yerba buena,1,-26.8121581,-65.2981714,"Tucumán, Yerba buena"
