Provincia,Localidad,Cantidad,Latitud,Longitud,direccion_completa
Corrientes,COLONIA CAROLINA,1,-29.1410811,-59.1792494,"Corrientes, COLONIA CAROLINA"
Corrientes,CORRIENTES CAPITAL,1,-27.4687004,-58.8311982,"Corrientes, CORRIENTES CAPITAL"
Corrientes,ENSENADA GRANDE,1,-27.3662154,-58.3687494,"Corrientes, ENSENADA GRANDE"
Corrientes,Ituzaingo,1,-27.5896182,-56.6893413,"Corrientes, Ituzaingo"
Corrientes,MANUEL DERQUI,1,-27.8443410,-58.8089582,"Corrientes, MANUEL DERQUI"
Corrientes,MBURUCUYA,1,-28.0465164,-58.2303422,"Corrientes, MBURUCUYA"
Corrientes,Mocoreta,1,-30.6192351,-57.9665847,"Corrientes, Mocoreta"
Corrientes,NARANJITO SAN ROQUE,1,,,"Corrientes, NARANJITO SAN ROQUE"
Corrientes,Paso de la Patria,1,-27.3173037,-58.5725890,"Corrientes, Paso de la Patria"
Corrientes,Riachuelo,1,-27.5826061,-58.7454717,"Corrientes, Riachuelo"
Chubut,ESCALANTE,1,-45.8534990,-67.5516004,"Chubut, ESCALANTE"
Chubut,DOLAVON,1,-43.3080688,-65.7105566,"Chubut, DOLAVON"
Córdoba,La Falda,1,-31.0946192,-64.4829365,"Córdoba, La Falda"
Chubut,Camarones,1,-44.7984943,-65.7103731,"Chubut, Camarones"
Catamarca,Catamarca,1,-28.4688806,-65.7790642,"Catamarca, Catamarca"
Catamarca,RINCON,1,-28.2212631,-66.1434813,"Catamarca, RINCON"
Catamarca,SAN FERNANDO,1,-27.3341634,-66.8980594,"Catamarca, SAN FERNANDO"
Catamarca,SAN FERNANDO DEL VAL,1,,,"Catamarca, SAN FERNANDO DEL VAL"
Catamarca,SAN FERNANDO DEL VALLE,1,-28.4688806,-65.7790642,"Catamarca, SAN FERNANDO DEL VALLE"
Catamarca,SAN ISIDRO,1,-28.4578883,-65.7249757,"Catamarca, SAN ISIDRO"
Catamarca,SUMALAO,1,-28.4678760,-65.7339645,"Catamarca, SUMALAO"
Catamarca,San Fernando del valle de Catamarca,1,-28.4688806,-65.7790642,"Catamarca, San Fernando del valle de Catamarca"
Catamarca,VALLE VIEJO,1,-28.4514785,-65.7911767,"Catamarca, VALLE VIEJO"
Catamarca,VILLA DOLORES,1,-28.4444983,-65.7213391,"Catamarca, VILLA DOLORES"
Chaco,Barranqueras,1,-27.4773912,-58.9084561,"Chaco, Barranqueras"
Chaco,CHACO,1,-27.2085994,-61.1816525,"Chaco, CHACO"
Chaco,CHARATA,1,-27.2178115,-61.1873712,"Chaco, CHARATA"
Chaco,COLONIA BARANDA,1,-27.5600977,-59.3073397,"Chaco, COLONIA BARANDA"
Chaco,COLONIA POPULAR,1,-27.2751277,-59.1514548,"Chaco, COLONIA POPULAR"
Chaco,EL SAUZALITO,1,-24.4236389,-61.6841709,"Chaco, EL SAUZALITO"
Chaco,GENERAL VEDIA,1,-26.9373540,-58.6611935,"Chaco, GENERAL VEDIA"
Chaco,LAS PALMAS,1,-27.0489306,-58.6826524,"Chaco, LAS PALMAS"
Chaco,MARGARITA BELEN,1,-27.2591096,-58.9704763,"Chaco, MARGARITA BELEN"
Chaco,PRECIDENCIA ROQUE SANEZ PEÑA,1,,,"Chaco, PRECIDENCIA ROQUE SANEZ PEÑA"
Chaco,PRESIDENCIA ROQUE SA,1,-26.7909093,-60.4410391,"Chaco, PRESIDENCIA ROQUE SA"
Chaco,PRESIDENCIA ROQUE SAENZ PEÑA,1,-26.7909093,-60.4410391,"Chaco, PRESIDENCIA ROQUE SAENZ PEÑA"
Chaco,PRESIDENTE ROQUE SAENZ PEÑA,1,-34.1744821,-63.1541741,"Chaco, PRESIDENTE ROQUE SAENZ PEÑA"
Chubut,ALTO RIO SENGUER,1,-45.0419751,-70.8234228,"Chubut, ALTO RIO SENGUER"
Chubut,CHOLILA,1,-42.5112728,-71.4312207,"Chubut, CHOLILA"
Chubut,COMODORO RIIVADAVIA,1,,,"Chubut, COMODORO RIIVADAVIA"
Chubut,COMODORO RIVADAVA,1,,,"Chubut, COMODORO RIVADAVA"
Chubut,COMODORO RIVDAVIA,1,,,"Chubut, COMODORO RIVDAVIA"
Chubut,CORCOVADO,1,-43.5396568,-71.4681317,"Chubut, CORCOVADO"
Corrientes,SAN BENITO,1,-27.4762594,-58.8463642,"Corrientes, SAN BENITO"
Corrientes,SAN LUIS DEL PALMAR,1,-27.5077031,-58.5561657,"Corrientes, SAN LUIS DEL PALMAR"
Corrientes,SANTA ANA DE LOS GUACARAS,1,-27.4551934,-58.6547393,"Corrientes, SANTA ANA DE LOS GUACARAS"
Corrientes,Santo Tome,1,-28.5497034,-56.0351419,"Corrientes, Santo Tome"
Córdoba,Capilla del Monte,1,-30.8572075,-64.5263199,"Córdoba, Capilla del Monte"
Córdoba,Corral de Bustos,1,-33.2832106,-62.1863973,"Córdoba, Corral de Bustos"
Córdoba,Costa Azul Anisacate,1,-31.7282282,-64.3978612,"Córdoba, Costa Azul Anisacate"
Córdoba,DEVOTO,1,-31.4015972,-62.3060014,"Córdoba, DEVOTO"
Córdoba,EL FORTIN,1,-31.9697703,-62.3003476,"Córdoba, EL FORTIN"
Córdoba,EL MANZANO,1,-31.0838475,-64.2976128,"Córdoba, EL MANZANO"
Córdoba,ESTACION JUAREZ CELMAN,1,-31.2573225,-64.1683845,"Córdoba, ESTACION JUAREZ CELMAN"
Córdoba,ESTANCIA VIEJA,1,-31.3911308,-64.5207426,"Córdoba, ESTANCIA VIEJA"
Córdoba,GENERAL CABRERA,1,-32.8143925,-63.8749511,"Córdoba, GENERAL CABRERA"
Córdoba,GOULD,1,-33.5786121,-62.7273470,"Córdoba, GOULD"
Córdoba,GRAL BELGRANO,1,-31.4415807,-64.3179300,"Córdoba, GRAL BELGRANO"
Córdoba,GRANJA DE CLARET,1,-31.3475554,-64.2407946,"Córdoba, GRANJA DE CLARET"
Córdoba,GUATIMOZIN,1,-33.4642953,-62.4381621,"Córdoba, GUATIMOZIN"
Córdoba,General Cabrera,1,-32.8143925,-63.8749511,"Córdoba, General Cabrera"
Córdoba,HUINCA REMANCO,1,,,"Córdoba, HUINCA REMANCO"
Córdoba,HUINCA RENANCO,1,-34.8410441,-64.3749321,"Córdoba, HUINCA RENANCO"
Córdoba,IDIAZABAL,1,-32.8125067,-63.0324333,"Córdoba, IDIAZABAL"
Córdoba,ISLA VERDE,1,-33.2397927,-62.4016017,"Córdoba, ISLA VERDE"
Córdoba,LA GRANJA,1,-31.0082156,-64.2683540,"Córdoba, LA GRANJA"
Córdoba,LA PALESTINA,1,-32.6164167,-63.4093151,"Córdoba, LA PALESTINA"
Córdoba,LA PUERTA,1,-30.8925886,-63.2559037,"Córdoba, LA PUERTA"
Córdoba,LAGUNA LARGA,1,-31.7757039,-63.8003460,"Córdoba, LAGUNA LARGA"
Córdoba,LAS ALBAHACAS,1,-32.8929625,-64.8397787,"Córdoba, LAS ALBAHACAS"
Córdoba,LAS PERDICES,1,-32.6993173,-63.7051586,"Córdoba, LAS PERDICES"
Córdoba,LOS AROMOS,1,-31.3535051,-64.3120611,"Córdoba, LOS AROMOS"
Córdoba,LOS CONDORES,1,-32.3211670,-64.2806672,"Córdoba, LOS CONDORES"
Córdoba,LOS HORNILLOS,1,-31.8992271,-64.9880077,"Córdoba, LOS HORNILLOS"
Córdoba,LOS TALAS ANISACATE,1,-31.7357362,-64.3932250,"Córdoba, LOS TALAS ANISACATE"
Córdoba,LOZADA,1,-31.6497631,-64.0894839,"Córdoba, LOZADA"
Córdoba,Canals,1,-33.5622180,-62.8850595,"Córdoba, Canals"
Córdoba,CRUZ DE CAÑA,1,-31.0669581,-64.9457656,"Córdoba, CRUZ DE CAÑA"
Córdoba,CORONEL OLMEDO,1,-31.4803393,-64.1396267,"Córdoba, CORONEL OLMEDO"
Córdoba,BENGOLEA,1,-33.0248869,-63.6699329,"Córdoba, BENGOLEA"
Córdoba,ADELIA MARIA,1,-33.6336195,-64.0240394,"Córdoba, ADELIA MARIA"
Córdoba,AGUA DE ORO,1,-31.0644352,-64.2999884,"Córdoba, AGUA DE ORO"
Córdoba,ALEJANDRO ROCA,1,-33.3536042,-63.7177440,"Córdoba, ALEJANDRO ROCA"
Córdoba,ALICIA,1,-31.9434718,-62.4654221,"Córdoba, ALICIA"
Córdoba,ARIAS,1,-33.6422088,-62.4038413,"Córdoba, ARIAS"
Córdoba,BALLESTEROS,1,-32.5453242,-62.9811138,"Córdoba, BALLESTEROS"
Córdoba,BALNEARIA,1,-31.0126371,-62.6653865,"Córdoba, BALNEARIA"
Córdoba,BARRIO ALTA CORDOBA,1,-31.8670455,-62.7258085,"Córdoba, BARRIO ALTA CORDOBA"
Córdoba,BARRIO ALTOS GENERAL PAZ,1,,,"Córdoba, BARRIO ALTOS GENERAL PAZ"
Córdoba,BARRIO GRAL PAZ,1,,,"Córdoba, BARRIO GRAL PAZ"
Córdoba,BARRIO MULLER,1,,,"Córdoba, BARRIO MULLER"
